"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US48201321300","Census Tract 3213, Harris County, Texas","5725","787","3450","562","748","489","0","127","117","123","0","127","1394","479","16","28","16","28","0","127"
"1400000US48201420700","Census Tract 4207, Harris County, Texas","3202","231","2689","291","82","89","15","23","256","126","0","127","108","124","52","51","0","127","52","51"
"1400000US48201423100","Census Tract 4231, Harris County, Texas","2958","500","1490","445","1064","331","0","127","0","127","0","127","391","179","13","23","13","23","0","127"
"1400000US48201530100","Census Tract 5301, Harris County, Texas","6950","732","4128","797","873","317","27","44","0","127","0","127","1864","612","58","73","21","49","37","57"
"1400000US48201240501","Census Tract 2405.01, Harris County, Texas","4867","502","2418","454","2098","448","0","127","131","153","0","127","220","186","0","127","0","127","0","127"
"1400000US48201453401","Census Tract 4534.01, Harris County, Texas","2478","413","1332","356","553","316","69","143","291","225","0","127","178","181","55","89","0","127","55","89"
"1400000US48201323600","Census Tract 3236, Harris County, Texas","7789","634","5760","596","94","107","0","127","481","146","0","127","1442","561","12","20","0","127","12","20"
"1400000US48201530800","Census Tract 5308, Harris County, Texas","3585","475","442","181","2888","476","29","34","0","127","0","127","200","174","26","29","0","127","26","29"
"1400000US48201553403","Census Tract 5534.03, Harris County, Texas","6080","532","4610","613","596","180","0","127","751","237","0","127","80","76","43","33","29","35","14","22"
"1400000US48201232500","Census Tract 2325, Harris County, Texas","2941","763","2150","763","220","111","27","44","0","127","15","28","513","268","16","26","16","26","0","127"
"1400000US48201311100","Census Tract 3111, Harris County, Texas","5729","733","2472","510","0","127","36","61","0","127","0","127","3156","693","65","60","44","49","21","36"
"1400000US48201342100","Census Tract 3421, Harris County, Texas","4180","476","3650","454","152","157","23","23","16","24","0","127","329","302","10","14","0","127","10","14"
"1400000US48201533702","Census Tract 5337.02, Harris County, Texas","3294","471","1863","594","662","360","12","22","465","325","0","127","235","170","57","83","48","79","9","17"
"1400000US48201554302","Census Tract 5543.02, Harris County, Texas","4861","460","3506","511","338","257","0","127","859","480","0","127","83","121","75","100","0","127","75","100"
"1400000US48201220700","Census Tract 2207, Harris County, Texas","5956","879","3048","844","1586","365","0","127","0","127","0","127","1322","693","0","127","0","127","0","127"
"1400000US48201220900","Census Tract 2209, Harris County, Texas","1760","297","1147","282","140","102","0","127","0","127","0","127","413","253","60","60","0","127","60","60"
"1400000US48201230900","Census Tract 2309, Harris County, Texas","3815","456","424","344","3128","392","25","52","0","127","0","127","238","192","0","127","0","127","0","127"
"1400000US48201323300","Census Tract 3233, Harris County, Texas","3408","447","1761","446","40","44","70","96","16","28","0","127","1452","572","69","59","69","59","0","127"
"1400000US48201342002","Census Tract 3420.02, Harris County, Texas","3351","201","2470","435","9","14","172","247","308","237","0","127","369","293","23","30","23","30","0","127"
"1400000US48201413201","Census Tract 4132.01, Harris County, Texas","2260","421","1367","335","88","92","0","127","486","325","0","127","244","216","75","75","0","127","75","75"
"1400000US48201422200","Census Tract 4222, Harris County, Texas","5730","988","777","385","4111","841","0","127","185","244","0","127","575","409","82","132","0","127","82","132"
"1400000US48201431301","Census Tract 4313.01, Harris County, Texas","4233","480","2977","519","235","141","78","73","646","252","0","127","187","230","110","89","0","127","110","89"
"1400000US48201451300","Census Tract 4513, Harris County, Texas","7159","513","5038","490","1452","379","14","21","471","137","0","127","156","142","28","33","15","25","13","20"
"1400000US48201521000","Census Tract 5210, Harris County, Texas","2611","499","2002","542","136","125","0","127","140","193","41","65","203","172","89","97","10","17","79","96"
"1400000US48201542700","Census Tract 5427, Harris County, Texas","4420","345","3572","471","208","172","87","81","136","150","0","127","329","283","88","65","67","62","21","25"
"1400000US48201342900","Census Tract 3429, Harris County, Texas","5591","273","4913","327","183","162","88","102","86","86","0","127","163","167","158","93","0","127","158","93"
"1400000US48201541400","Census Tract 5414, Harris County, Texas","12737","839","7859","806","1760","541","25","29","1912","410","0","127","993","496","188","130","0","127","188","130"
